constraint0,constraint1,level,step
"(= (- (str.len s) (str.len (str.replace s ""-"" """"))) 2)","(let ((before-first-hyphen (str.substr s 0 (str.indexof s ""-"")))) (and (>= (int.of_string before-first-hyphen) 0) (<= (int.of_string before-first-hyphen) 2025)))",0,0
"(and (str.contains s ""-"") (str.indexof s ""-"" 0) (str.indexof s ""-"" (str.indexof s ""-"" 0 + 1)))","(let ((prefix (str.substr s 0 (str.indexof s ""-"" 0)))) (and (str.to.int prefix >= 0) (str.to.int prefix <= 2025)))",0,1
"(= (str.count s ""-"") 2)","(let ((pos (str.indexof s ""-""))) (and (>= (str.to.int (str.substr s 0 pos)) 0) (<= (str.to.int (str.substr s 0 pos)) 2025)))",0,2
"(= (str.count s ""-"") 2)","(let ((before-hyphen (str.substr s 0 (str.indexof s ""-"")))) (and (str.to.int before-hyphen >= 0) (str.to.int before-hyphen <= 2025)))",0,3
"(= (str.count s ""-"") 2)","(let ((num_part (str.substr s 0 (str.indexof s ""-"")))) (and (>= (str.to.int num_part) 0) (<= (str.to.int num_part) 2025)))",0,4
"(= (str.count s ""-"") 2)","(let ((first_part (str.substr s 0 (str.indexof s ""-"")))) (and (str.to.int first_part >= 0) (str.to.int first_part <= 2025)))",0,5
"(= (str.count s ""-"") 2)","(let ((num (int (str.substr s 0 (str.indexof s ""-""))))) (and (>= num 0) (<= num 2025)))",0,6
"(= (str.count s ""-"") 2)","(let ((before_hyphen (str.substr s 0 (str.indexof s ""-"")))) (and (>= (str.to.int before_hyphen) 0) (<= (str.to.int before_hyphen) 2025)))",0,7
"(= 2 (str.count s ""-""))","(let ((prefix (str.substr s 0 (str.indexof s ""-"")))) (and (str.to.int prefix >= 0) (str.to.int prefix <= 2025)))",0,8
"(= (str.count s ""-"") 2)","(let ((num (str.to.int (str.substr s 0 (str.indexof s ""-""))))) (and (>= num 0) (<= num 2025)))",0,9
