constraint0,constraint1,level,step
"(= (str.count s ""@"")(1))","(=> (str.contains s ""@"")(exists (i) (and (>= i (str.indexof s ""@"")) (< i (str.length s)) (str.contains (str.substr s (+ i 1) (- (str.length s) (+ i 1))) ""."")))) )",0,0
"(= (str.count s ""@"")(1))","(=> (str.contains s ""@"")(exists ((i Int)) (and (>= i 0) (< i (str.len s)) (str.contains (str.substr s (+ i 1) (- (str.len s) (+ i 1))) "".""))))))",0,1
"(= (str.count s ""@"")(1))","(=> (str.contains s ""@"")(exists ((i Int)) (and (>= i (+ (str.indexof s ""@"" 0) 1)) (< i (str.length s)) (str.contains (str.substr s i (- (str.length s) i)) "".""))))",0,2
"(= (str.count s ""@"")(1))","(=> (str.contains s ""@"")(exists ((x String)) (and (str.contains s ""."") (>= (str.indexof s ""."") (+ (str.indexof s ""@"")(1)))))))",0,3
"(and (str.contains s ""@"")(not (str.contains (str.substr s 0 (str.indexof s ""@"")) ""@"")) (not (str.contains (str.substr s (+ (str.indexof s ""@"") 1)) ""@"")))","(=> (str.contains s ""@"")(exists ((i Int))(and (= i (str.indexof s ""@""))(str.contains (str.substr s (+ i 1)) "".""))))",0,4
"(= (str.count s ""@"")(1))","(=> (str.contains s ""@"")(str.contains (str.substr s (str.indexof s ""@"")(str.len s)) "".""))",0,5
"(and (str.contains s ""@"")(not (str.contains (str.substr s 0 (str.indexof s ""@"")) ""@"")) (not (str.contains (str.substr s (+ (str.indexof s ""@"") 1) (str.length s)) ""@"")))","(=> (str.contains s ""@"") (exists ((i Int)) (and (>= i (+ (str.indexof s ""@"") 1)) (< i (str.length s)) (str.contains (str.substr s i (str.length s)) "".""))))",0,6
"(= (str.count s ""@""). 1)","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (str.length s)) "".""))",0,7
"(= (str.count s ""@"") 1)","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.length s) (+ (str.indexof s ""@"") 1))) "".""))",0,8
"(= (str.count s ""@"") 1)","(=> (str.contains s ""@"")(str.contains (str.substr s (str.indexof s ""@"" 0) (str.length s)) "".""))",0,9
