constraint0,constraint1,level,step
"(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (not (str.contains s ""-"")) (not (str.contains s ""--""))))","(=> (str.contains s ""-"") (or (< (str.to.int (str.substr s 0 (str.indexof s ""-""))) 0) (> (str.to.int (str.substr s 0 (str.indexof s ""-""))) 2025)))",1,0
"(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (not (str.contains s ""-"")) (not (str.contains s ""--""))))","(=> (str.contains s ""-"") (or (< (str.to.int (str.substr s 0 (str.indexof s ""-""))) 0) (> (str.to.int (str.substr s 0 (str.indexof s ""-""))) 2025)))",2,1
"(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (not (str.contains s ""-"")) (not (str.contains s ""--""))))","(=> (str.contains s ""-"") (or (< (str.to.int (str.substr s 0 (str.indexof s ""-""))) 0) (> (str.to.int (str.substr s 0 (str.indexof s ""-""))) 2025)))",2,2
"(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (not (str.contains s ""-"")) (not (str.contains s ""--""))))","(=> (str.contains s ""-"") (or (< (str.to.int (str.substr s 0 (str.indexof s ""-""))) 0) (> (str.to.int (str.substr s 0 (str.indexof s ""-""))) 2025)))",2,3
"(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (not (str.contains s ""-"")) (not (str.contains s ""--""))))","(=> (str.contains s ""-"") (or (< (str.to.int (str.substr s 0 (str.indexof s ""-""))) 0) (> (str.to.int (str.substr s 0 (str.indexof s ""-""))) 2025)))",2,4
"(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (not (str.contains s ""-"")) (not (str.contains s ""--""))))","(=> (str.contains s ""-"") (or (< (str.to.int (str.substr s 0 (str.indexof s ""-""))) 0) (> (str.to.int (str.substr s 0 (str.indexof s ""-""))) 2025)))",2,5
"(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (not (str.contains s ""-"")) (not (str.contains s ""--""))))","(=> (str.contains s ""-"") (or (< (str.to.int (str.substr s 0 (str.indexof s ""-""))) 0) (> (str.to.int (str.substr s 0 (str.indexof s ""-""))) 2025)))",2,6
"(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (not (str.contains s ""-"")) (not (str.contains s ""--""))))","(=> (str.contains s ""-"") (or (< (str.to.int (str.substr s 0 (str.indexof s ""-""))) 0) (> (str.to.int (str.substr s 0 (str.indexof s ""-""))) 2025)))",2,7
"(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (not (str.contains s ""-"")) (not (str.contains s ""--""))))","(=> (str.contains s ""-"") (or (< (str.to.int (str.substr s 0 (str.indexof s ""-""))) 0) (> (str.to.int (str.substr s 0 (str.indexof s ""-""))) 2025)))",2,8
"(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (not (str.contains s ""-"")) (not (str.contains s ""--""))))","(=> (str.contains s ""-"") (or (< (str.to.int (str.substr s 0 (str.indexof s ""-""))) 0) (> (str.to.int (str.substr s 0 (str.indexof s ""-""))) 2025)))",2,9
