constraint0,constraint1,level,step
"(=> (>= (str.count s ""-"") 2) (or (< (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"" + 1) + 1))) 1) (> (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"" + 1) + 1))) 12)))","(=> (>= (str.count s ""-"") 2) (or (< (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" + 1) + 1) (str.length s))) 1) (> (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" + 1) + 1) (str.length s))) 31)))",0,0
"(=> (>= (str.count s ""-"") 2) (or (< (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"" 1))) 1) 1) (> (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"" 1))) 1) 12)))","(=> (>= (str.count s ""-"") 2) (or (< (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" 1)) (str.length s))) 1) (> (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" 1)) (str.length s))) 31)))",0,1
"(=> (>= (str.count s ""-"") 2) (or (< (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"" 0 1) 1))) 1) (> (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"" 0 1) 1))) 12)))","(=> (>= (str.count s ""-"") 2) (or (< (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" 0 1) 1) (str.length s))) 1) (> (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" 0 1) 1) (str.length s))) 31)))",0,2
"(=> (>= (str.count s ""-"") 2) (or (< (to_int (str.substr s (+ (str.indexof s ""-"") 1) (- (str.indexof s ""-"" (str.indexof s ""-"" 1)) (str.indexof s ""-"" 0)))) 1) (> (to_int (str.substr s (+ (str.indexof s ""-"") 1) (- (str.indexof s ""-"" (str.indexof s ""-"" 1)) (str.indexof s ""-"" 0)))) 12)))","(=> (>= (str.count s ""-"") 2) (or (< (to_int (str.substr s (+ (str.indexof s ""-"" (str.indexof s ""-"" 1)) 1) (str.length s))) 1) (> (to_int (str.substr s (+ (str.indexof s ""-"" (str.indexof s ""-"" 1)) 1) (str.length s))) 31)))",0,3
"(=> (>= (str.count s ""-"") 2) (or (< (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"" 1) 1))) 1) (> (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"" 1) 1))) 12)))","(=> (>= (str.count s ""-"") 2) (or (< (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" 1) 1) (str.length s))) 1) (> (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" 1) 1) (str.length s))) 31)))",0,4
"(=> (>= (str.count s ""-"") 2) (or (< (str.to.int (str.substr s (+ (str.indexof s ""-"") 1) (- (str.indexof s ""-"" (str.indexof s ""-"" (+ 1))) (str.indexof s ""-"" 1))) ) 1) (> (str.to.int (str.substr s (+ (str.indexof s ""-"") 1) (- (str.indexof s ""-"" (str.indexof s ""-"" (+ 1))) (str.indexof s ""-"" 1))) ) 12)))","(=> (>= (str.count s ""-"") 2) (or (< (str.to.int (str.substr s (+ (str.indexof s ""-"" (str.indexof s ""-"" 1)) 1) (- (str.length s) (str.indexof s ""-"" (str.indexof s ""-"" 1)))) ) 1) (> (str.to.int (str.substr s (+ (str.indexof s ""-"" (str.indexof s ""-"" 1)) 1) (- (str.length s) (str.indexof s ""-"" (str.indexof s ""-"" 1)))) ) 31)))",0,5
"(=> (>= (str.count s ""-"") 2) (or (< (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"" 1)))) 1) (> (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"" 1)))) 12)))","(=> (>= (str.count s ""-"") 2) (or (< (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" 1)) (str.length s))) 1) (> (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" 1)) (str.length s))) 31)))",0,6
"(=> (>= (str.count s ""-"") 2) (or (< (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"" + 1) + 1))) 1) (> (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"" + 1) + 1))) 12)))","(=> (>= (str.count s ""-"") 2) (or (< (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" + 1) + 1) (str.length s))) 1) (> (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" + 1) + 1) (str.length s))) 31)))",0,7
"(=> (>= (str.count s ""-"") 2) (or (< (int s) 1) (> (int s) 12)))","(=> (>= (str.count s ""-"") 2) (or (< (int s) 1) (> (int s) 31)))",0,8
"(=> (>= (str.count s ""-"") 2) (or (< (str.to.int (str.substr s (+ (str.indexof s ""-"") 1) (- (str.indexof s ""-"" (str.indexof s ""-"" (+ (str.indexof s ""-"") 1)) 1) (+ (str.indexof s ""-"") 1))) 1) (> (str.to.int (str.substr s (+ (str.indexof s ""-"") 1) (- (str.indexof s ""-"" (str.indexof s ""-"" (+ (str.indexof s ""-"") 1)) 1) (+ (str.indexof s ""-"") 1))) 12)))","(=> (>= (str.count s ""-"") 2) (or (< (str.to.int (str.substr s (+ (str.indexof s ""-"" (str.indexof s ""-"" 1)) 1) (- (str.length s) (+ (str.indexof s ""-"" (str.indexof s ""-"" 1)) 1))) 1) (> (str.to.int (str.substr s (+ (str.indexof s ""-"" (str.indexof s ""-"" 1)) 1) (- (str.length s) (+ (str.indexof s ""-"" (str.indexof s ""-"" 1)) 1))) 31)))",0,9
