constraint0,constraint1,constraint2,constraint3,level,step
"(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (not (str.contains s ""-"" (str.indexof s ""-"" 1)))) (>= (str.count s ""-"") 2))","(=> (str.contains s ""-"") (or (< (int (str.substr s 0 (str.indexof s ""-""))) 0) (> (int (str.substr s 0 (str.indexof s ""-""))) 2025)))","(=> (>= (str.count s ""-"") 2) (or (< (int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"" 1)))) 1) (> (int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" 1)) (str.indexof s ""-"" 1))) 12)))","(=> (>= (str.count s ""-"") 2) (or (< (int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" 1)) (str.length s))) 1) (> (int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" 1)) (str.length s))) 31)))",0,0
"(or (not (str.contains s ""-"")) (= (str.count s ""-"") 1) (> (str.count s ""-"") 2))","(=> (str.contains s ""-"") (or (< (to_int (str.substr s 0 (str.indexof s ""-""))) 0) (> (to_int (str.substr s 0 (str.indexof s ""-""))) 2025)))","(=> (>= (str.count s ""-"") 2) (or (< (to_int (str.substr s (+ (str.indexof s ""-"") 1) (- (str.indexof s ""-"" 1) (+ (str.indexof s ""-"") 1))) 1) (> (to_int (str.substr s (+ (str.indexof s ""-"") 1) (- (str.indexof s ""-"" 1) (+ (str.indexof s ""-"") 1))) 12)))","(=> (>= (str.count s ""-"") 2) (or (< (to_int (str.substr s (+ (str.indexof s ""-"" 1) 1)) 1) (> (to_int (str.substr s (+ (str.indexof s ""-"" 1) 1)) 31)))",0,1
"(or (not (str.contains s ""-"")) (and (not (str.contains s ""-"")) (>= (str.count s ""-"") 1) (>= (str.count s ""-"") 2))) (>= (str.count s ""-"") 2))","(=> (str.contains s ""-"") (or (< (int s) 0) (> (int s) 2025)))","(=> (>= (str.count s ""-"") 2) (or (< (int s) 1) (> (int s) 12)))","(=> (>= (str.count s ""-"") 2) (or (< (int s) 1) (> (int s) 31)))",0,2
"(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (not (str.contains (str.substr s 0 (str.indexof s ""-"")) ""-""))) (>= (str.count (str.to.re s) (str.to.re ""-"")) 2))","(=> (str.contains s ""-"") (or (< (str.to.int (str.substr s 0 (str.indexof s ""-""))) 0) (> (str.to.int (str.substr s 0 (str.indexof s ""-"")) 2025)))","(=> (>= (str.count (str.to.re s) (str.to.re ""-"")) 2) (or (< (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"")))) 1) (> (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"")))) 12)))","(=> (>= (str.count (str.to.re s) (str.to.re ""-"")) 2) (or (< (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"")))) 1) (> (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-""))) 31)))",0,3
"(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (not (str.contains s ""-"" (str.indexof s ""-"" 1))))) (and (str.contains s ""-"") (str.contains s ""-"" (str.indexof s ""-"" 1)) (str.contains s ""-"" (str.indexof s ""-"" 2))))","(=> (str.contains s ""-"") (or (< (str.to.int (str.substr s 0 (str.indexof s ""-""))) 0) (> (str.to.int (str.substr s 0 (str.indexof s ""-""))) 2025)))","(=> (and (str.contains s ""-"") (>= (str.count s ""-"") 2)) (or (< (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" 2))) 1) (> (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" 2))) 12)))","(=> (and (str.contains s ""-"") (>= (str.count s ""-"") 2)) (or (< (str.to.int (str.substr s (str.indexof s ""-"" 2) (str.length s))) 1) (> (str.to.int (str.substr s (str.indexof s ""-"" 2) (str.length s))) 31)))",0,4
"(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (not (str.contains s ""-"" (str.indexof s ""-"" 1))))) (>= (str.count s ""-"") 2))","(=> (str.contains s ""-"") (or (< (str.to.int (str.substr s 0 (str.indexof s ""-""))) 0) (> (str.to.int (str.substr s 0 (str.indexof s ""-""))) 2025)))","(=> (>= (str.count s ""-"") 2) (or (< (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"" 1)))) 1) (> (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"" 1)))) 12)))","(=> (>= (str.count s ""-"") 2) (or (< (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" 1)) (str.length s))) 1) (> (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" 1)) (str.length s))) 31)))",0,5
"(or (not (str.contains s ""-"")) (and (not (str.contains s ""-"")) (not (str.contains s ""-"" (str.indexof s ""-"" 1))) (not (str.contains s ""-"" (str.indexof s ""-"" 2))))) (and (str.contains s ""-"" (str.indexof s ""-"" 1)) (str.contains s ""-"" (str.indexof s ""-"" 2))))","(=> (str.contains s ""-"") (or (< (int s) 0) (> (int s) 2025)))","(=> (and (str.contains s ""-"") (str.contains s ""-"" (str.indexof s ""-"" 1)) (str.contains s ""-"" (str.indexof s ""-"" 2))) (or (< (int s) 1) (> (int s) 12)))","(=> (and (str.contains s ""-"" (str.indexof s ""-"" 1)) (str.contains s ""-"" (str.indexof s ""-"" 2))) (or (< (int s) 1) (> (int s) 31)))",0,6
"(or (not (str.contains s ""-"")) (str.contains s ""-""))","(=> (str.contains s ""-"") (or (< s 0) (> s 2025)))","(=> (str.contains s ""- -"") (or (< s 1) (> s 12)))","(=> (str.contains s ""- -"") (or (< s 1) (> s 31)))",0,7
"(or (not (str.contains s ""-"")) (and (str.contains s ""-"") (not (str.contains s ""-""))) (> (str.count s ""-"") 2))","(=> (str.contains s ""-"") (or (< (str.to.int s) 0) (> (str.to.int s) 2025)))","(=> (and (str.contains s ""-"") (> (str.count s ""-"") 1)) (or (< (str.to.int s) 1) (> (str.to.int s) 12)))","(=> (and (str.contains s ""-"") (> (str.count s ""-"") 1)) (or (< (str.to.int s) 1) (> (str.to.int s) 31)))",0,8
"(or (= (str.count s ""-"") 0) (= (str.count s ""-"") 1) (> (str.count s ""-"") 2))","(=> (>= (str.count s ""-"") 1) (or (< (str.to.int s) 0) (> (str.to.int s) 2025)))","(=> (>= (str.count s ""-"") 2) (or (< (str.to.int s) 1) (> (str.to.int s) 12)))","(=> (>= (str.count s ""-"") 2) (or (< (str.to.int s) 1) (> (str.to.int s) 31)))",0,9
