0,1,2,3
Name,True,"1. The name shall only contain letters a-z, letters A-Z and space characters.",
Name,True,2. The name shall contain at least one space character.,"(str.contains s "" "")"
Name,True,3. The name shall not end with a space character.,"(not (= (str.at s (- (str.len s) 1)) "" ""))"
Name,True,4. The name shall not  start with a space character.,"(not (= (str.at s 0) "" ""))"
Name,True,5. The first character in the name shall be capitalized.,"(and (>= (str.to_int (str.at s 0)) (str.to_int ""A"")) (<= (str.to_int (str.at s 0)) (str.to_int ""Z"")))"
Name,True,6. Any character in the name following a space character shall be capitalized.,
Name,False,"1. The name shall not contain letters a-z, letters A-Z and spaces.",
Name,False,2. The name shall contain no space character.,"(not (str.contains s "" ""))"
Name,False,3. The name shall end with a space character.,"(= (str.substr s (- (str.len s) 1) 1) "" "")"
Name,False,4. The name shall start  with a space character.,"(= (str.substr s 0 1) "" "")"
Name,False,5. The first character in the name shall not be capitalized.,"(not (str.contains ""ABCDEFGHIJKLMNOPQRSTUVWXYZ"" (str.at s 0)))"
Name,False,"6. In the name, there shall be some characters following a space character which are not capitalized.","(exists ((i Int)) (and (str.contains s "" "") (not (str.in.re (str.substr s (+ i 1) (str.len s)) (str.to.re ""[A-Z]*""))) (>= i 0) (< i (str.len s))))"
Email,True,1. The email shall not contain a space character.,"(not (str.contains s "" ""))"
Email,True,2. The email shall not start with a @ character.,"(not (= (str.at s 0) ""@""))"
Email,True,3. The email shall have exactly one @ character.,"(= (- (str.len s) (str.len (str.replace s ""@"" """"))) 1)"
Email,True,"4. If the email contains a @ character, then the email shall include a dot character (.) after the @ character but before the end.","(=> (str.contains s ""@"")(and (str.contains (str.substr s (+ (str.indexof s ""@"") 1) (str.len s)) ""."") (> (str.len (str.substr s (+ (str.indexof s ""@"") 1) (str.len s))) 0)))"
Email,True,5. The final character of the email shall not be a dot character (.).,"(not (= (str.at s (- (str.len s) 1)) "".""))"
Email,True,6. The email shall not contain the word “manager”.,"(not (str.contains s ""manager""))"
Email,False,1. The email shall contain a space character.,"(str.contains s "" "")"
Email,False,2. The email shall start with a @ character.,
Email,False,3. The email shall have either no @ characters or more than one @ character.,"(or (not (str.contains s ""@"")) (> (str.indexof s ""@"") (str.indexof s ""@"")))"
Email,False,"4. If the email contains a @ character, then the email shall not include any dot characters (.) after the @ character and before the end.","(=> (str.contains s ""@"")(not (str.contains (str.substr s (+ (str.indexof s ""@"") 1) (str.len s)) ""."")))"
Email,False,5. The final character of the email shall be a dot character (.).,"(= (str.at s (- (str.len s) 1)) ""."")"
Email,False,6. The email shall contain the word “manager”.,"(str.contains s ""manager"")"
Password,True,1. The password shall be at least 4 characters long.,(>= (str.len s) 4)
Password,True,"2. The password shall contain one of the following characters: !, #, $.","(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))"
Password,True,3. The password shall contain at least one upper case characters.,"(or (str.contains s ""A"") (str.contains s ""B"") (str.contains s ""C"") (str.contains s ""D"") (str.contains s ""E"") (str.contains s ""F"") (str.contains s ""G"") (str.contains s ""H"") (str.contains s ""I"") (str.contains s ""J"") (str.contains s ""K"") (str.contains s ""L"") (str.contains s ""M"") (str.contains s ""N"") (str.contains s ""O"") (str.contains s ""P"") (str.contains s ""Q"") (str.contains s ""R"") (str.contains s ""S"") (str.contains s ""T"") (str.contains s ""U"") (str.contains s ""V"") (str.contains s ""W"") (str.contains s ""X"") (str.contains s ""Y"") (str.contains s ""Z""))"
Password,True,4. The password shall contain at least one lower case characters.,"(or (str.contains s ""a"") (str.contains s ""b"") (str.contains s ""c"") (str.contains s ""d"") (str.contains s ""e"") (str.contains s ""f"") (str.contains s ""g"") (str.contains s ""h"") (str.contains s ""i"") (str.contains s ""j"") (str.contains s ""k"") (str.contains s ""l"") (str.contains s ""m"") (str.contains s ""n"") (str.contains s ""o"") (str.contains s ""p"") (str.contains s ""q"") (str.contains s ""r"") (str.contains s ""s"") (str.contains s ""t"") (str.contains s ""u"") (str.contains s ""v"") (str.contains s ""w"") (str.contains s ""x"") (str.contains s ""y"") (str.contains s ""z""))"
Password,True,5. The password shall contain at least one number.,"(exists ((c String)) (and (str.contains s c) (or (= c ""0"") (= c ""1"") (= c ""2"") (= c ""3"") (= c ""4"") (= c ""5"") (= c ""6"") (= c ""7"") (= c ""8"") (= c ""9""))))"
Password,False,1. The password shall contain less than 4 characters.,(< (str.len s) 4)
Password,False,"2. The password shall not contain any of the following characters: !, #, $.","(and (not (str.contains s ""!"")) (not (str.contains s ""#"")) (not (str.contains s ""$"")))"
Password,False,3. The password shall not contain any upper case characters.,"(forall ((c String)) (=> (str.contains s c) (not (or (= c ""A"") (= c ""B"") (= c ""C"") (= c ""D"") (= c ""E"") (= c ""F"") (= c ""G"") (= c ""H"") (= c ""I"") (= c ""J"") (= c ""K"") (= c ""L"") (= c ""M"") (= c ""N"") (= c ""O"") (= c ""P"") (= c ""Q"") (= c ""R"") (= c ""S"") (= c ""T"") (= c ""U"") (= c ""V"") (= c ""W"") (= c ""X"") (= c ""Y"") (= c ""Z"")))))"
Password,False,4. The password shall not contain any lower case characters.,
Password,False,5. The password shall not contain any numbers.,
Url,True,1. The url shall start with either http:// or https://.,
Url,True,2. The url shall not contain any spaces.,"(not (str.contains s "" ""))"
Url,True,3. The url shall contain at least one dot character (.).,"(str.contains s ""."")"
Url,False,"1. The url shall not start with http://, nor with https://.",
Url,False,2. The url shall contain at least one space.,"(str.contains s "" "")"
Url,False,3. The url shall not contain any dot character (.).,"(not (str.contains s "".""))"
Date,True,1. The date shall contain two hyphens.,
Date,True,2. The date shall have a number between 0 and 2025 before the first hyphen.,"(and (>= (str.to_int (str.substr s 0 (str.indexof s ""-""))) 0) (<= (str.to_int (str.substr s 0 (str.indexof s ""-""))) 2025))"
Date,True,3. The data shall have a number between 1 and 12 after the first hyphen but before the second hyphen.,
Date,True,4. The date shall have a number between 1 and 31 after the second hyphen.,
Date,False,"1. The date shall contain either no hyphens, one hyphen or more than two hyphens.",
Date,False,"2. If the date has at least one hyphen, the part before the first hyphen shall be either a number smaller than 0 or a number larger than 2025.",
Date,False,"3. If the date has at least two hyphens, the part after the first hyphen but before the second hyphen shall be a number smaller than 1 or a number larger than 12.",
Date,False,"4. If the date has at least two hyphens, the part after the second hyphen shall be a number smaller than 1 or larger than 31.",
IBAN,True,1. The length of the bank number shall be 22.,(= (str.len s) 22)
IBAN,True,2. The first 4 numbers of the bank number shall be: 1210 (CA).,"(= (str.substr s 0 4) ""1210"")"
IBAN,True,3. The next 2 numbers of the bank number after the first 4 numbers shall be 00.,"(= (str.substr s 4 2) ""00"")"
IBAN,False,1. The length of the bank number shall not be 22.,(not (= (str.len s) 22))
IBAN,False,2. The first 4 numbers of the bank number shall not be: 1210 (CA).,"(not (= (str.substr s 0 4) ""1210""))"
IBAN,False,3. The next 2 numbers of the bank number after the first 4 numbers shall not be 00.,"(not (= (str.substr s 4 2) ""00""))"
