name,mask,nl_constraint,function
Name,True,"The name shall only contain letters a-z, letters A-Z and space characters.","def this_function(s: str) -> bool:
    ''' Check if the name shall only contain letters a-z, letters A-Z, and space characters.'''
    # Use a regular expression to match only letters and spaces
    return bool(re.fullmatch(r'[A-Za-z ]*', s))"
Name,True,The name shall contain at least one space character.,"def this_function(s: str) -> bool:
    ''' Check if the name shall contain at least one space character.'''
    # Check if there is at least one space in the string
    return ' ' in s"
Name,True,The name shall not end with a space character.,"def this_function(s: str) -> bool:
    '''Check if the name shall not end with a space character.'''
    return not s.endswith(' ')"
Name,True,The name shall not start with a space character.,"def this_function(s: str) -> bool:
    '''Check if the name shall not start with a space character.'''
    return not s.startswith(' ')"
Name,False,"The name shall not contain letters a-z, letters A-Z and spaces.","def this_function(s: str) -> bool:
    ''' Check if the name shall not contain letters a-z, letters A-Z and spaces.'''
    # Check if the string contains any letters or spaces
    return not bool(re.search(r'[a-zA-Z\s]', s))"
Name,False,The name shall contain no space character.,"def this_function(s: str) -> bool:
    ''' Check if the name shall contain no space character.'''
    # Check if the string contains any space characters
    return ' ' not in s"
Name,False,The name shall end with a space character.,"def this_function(s: str) -> bool:
    ''' Check if the name ends with a space character. '''
    return s.endswith(' ')"
Name,False,The name shall start  with a space character.,"def this_function(s: str) -> bool:
    ''' Check if the name starts with a space character. '''
    return s.startswith(' ')"
Email,True,The email shall not contain a space character.,"def this_function(s: str) -> bool:
    ''' Check if the email shall not contain a space character.'''
    # Return True if there is no space in the string, False otherwise
    return ' ' not in s"
Email,True,The email shall not start with a @ character.,"def this_function(s: str) -> bool:
    ''' Check if the email shall not start with a @ character.'''
    # Return True if the string does not start with '@', False otherwise
    return not s.startswith('@')"
Email,True,The email shall have exactly one @ character.,"def this_function(s: str) -> bool:
    ''' Check if the email has exactly one @ character.'''
    return s.count('@') == 1"
Email,True,"If the email contains a @ character, then the email shall include a dot character (.) after the @ character but before the end.","def this_function(s: str) -> bool:
    ''' Check if there is a dot (.) after the @ character but before the end.'''
    at_index = s.find('@')
    # Ensure '@' is found and not the last character
    if at_index == -1 or at_index == len(s) - 1:
        return False
    
    # Check if there's a dot after the '@' and before the end
    return '.' in s[at_index + 1:]"
Email,False,The email shall contain a space character.,"def this_function(s: str) -> bool:
    ''' Check if the email contains a space character.'''
    return ' ' in s"
Email,False,The email shall start with a @ character.,"def this_function(s: str) -> bool:
    ''' Check if the email starts with a @ character.'''
    return s.startswith('@')"
Email,False,The email shall have either no @ characters or more than one @ character.,"def this_function(s: str) -> bool:
    ''' Check if the email shall have either no @ characters or more than one @ character.'''
    at_count = s.count('@')
    return at_count == 0 or at_count > 1"
Email,False,"If the email contains a @ character, then the email shall not include any dot characters (.) after the @ character and before the end.","def this_function(s: str) -> bool:
    ''' Check if the email contains a @ character, then the email shall not include any dot characters (.) after the @ character and before the end.'''
    if '@' in s:
        at_index = s.index('@')
        return '.' not in s[at_index+1:]
    return True  # If there's no '@', the condition is trivially satisfied"
Password,True,The password shall be at least 4 characters long.,"def this_function(s: str) -> bool:
    ''' Check if the password is at least 4 characters long.'''
    return len(s) >= 4"
Password,True,"The password shall contain one of the following characters: !, #, $.","def this_function(s: str) -> bool:
    ''' Check if the password contains at least one of the following characters: !, #, $.'''
    special_characters = {'!', '#', '$'}
    return any(char in special_characters for char in s)"
Password,True,The password shall contain at least one upper case characters.,"def this_function(s: str) -> bool:
    ''' Check if the password contains at least one upper case character.'''
    for char in s:
        if char.isupper():
            return True
    return False"
Password,True,The password shall contain at least one lower case characters.,"def this_function(s: str) -> bool:
    ''' Check if the password contains at least one lower case character.'''
    for char in s:
        if char.islower():
            return True
    return False"
Password,False,The password shall contain less than 4 characters.,"def this_function(s: str) -> bool:
    '''Check if the password contains less than 4 characters.'''
    return len(s) < 4"
Password,False,"The password shall not contain any of the following characters: !, #, $.","def this_function(s: str) -> bool:
    '''Check if the password does not contain any of the following characters: !, #, $.'''
    forbidden_characters = {'!', '#', '$'}
    return not any(char in forbidden_characters for char in s)"
Password,False,The password shall not contain any upper case characters.,"def this_function(s: str) -> bool:
    ''' Check if the password shall not contain any upper case characters.'''
    for char in s:
        if char.isupper():
            return False
    return True"
Password,False,The password shall not contain any lower case characters.,"def this_function(s: str) -> bool:
    ''' Check if the password shall not contain any lower case characters.'''
    for char in s:
        if char.islower():
            return False
    return True"
Date,True,The date shall contain two hyphens.,"def this_function(s: str) -> bool:
    '''Check if the date contains exactly two hyphens.'''
    return s.count('-') == 2"
Date,True,"If there are at least one hyphen, the part before the first hyphen shall be a number between 0 and 2025.","def this_function(s: str) -> bool:
    '''Check if there is at least one hyphen, and the part before the first hyphen is a number between 0 and 2025.'''
    if '-' in s:
        first_part = s.split('-')[0]
        try:
            number = int(first_part)
            return 0 <= number <= 2025
        except ValueError:
            return False
    return False"
Date,True,"If there are at least two hyphens, the part after the first hyphen but before the second hyphen shall be a number between 1 and 12.","def this_function(s: str) -> bool:
    ''' Check if there are at least two hyphens, the part after the first hyphen but before the second hyphen shall be a number between 1 and 12.'''
    parts = s.split('-')
    if len(parts) < 3:
        return False
    try:
        number = int(parts[1])
        return 1 <= number <= 12
    except ValueError:
        return False"
