constraint0,constraint1,level,step
"(= (str.count s ""@"")(1))","(=> (str.contains s ""@"")(exists ((i Int)) (and (>= i (+ (str.indexof s ""@"") 1)) (< i (str.len s)) (str.contains (str.substr s i (str.len s)) "".""))))))",0,0
"(= (str.count s ""@"")(1))","(=> (str.contains s ""@"") (str.contains (str.substr s (+ (str.indexof s ""@"")(1)) (str.length s)) "".""))",0,1
"(and (str.contains s ""@"")(not (str.contains (str.substr s (str.indexof s ""@"")(str.length s)) ""@"")))","(=> (str.contains s ""@"")(str.contains (str.substr s (str.indexof s ""@"")(str.length s)) "".""))",0,2
"(and (str.contains s ""@"")(not (str.contains (str.substr s 0 (str.indexof s ""@"")) ""@"")) (not (str.contains (str.substr s (+ (str.indexof s ""@"") 1)) ""@"")))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1)) "".""))",0,3
,,0,4
,,0,5
,,0,6
,,0,7
,,0,8
,,0,9
