name,mask,nl_constraint,step_0,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,step_14,step_15,step_16,step_17,step_18,step_19
Name,True,"The name shall only contain letters a-z, letters A-Z and space characters.","(assert (str.in_re s (re.+ (str.to_re ""[a-zA-Z ]""))))","(assert (str.in_re s (re.+ (str.to_re ""[a-zA-Z ]""))))","(str.in_re s (re.++ (re.* (str.to_re ""[a-zA-Z]"")) (re.* (str.to_re "" ""))))",,,,,,,,,,,,,,,,,
Name,True,The name shall contain at least one space character.,"(assert (str.contains s "" ""))","(assert (str.contains s "" ""))","(str.contains s "" "")",,,,,,,,,,,,,,,,,
Name,True,The name shall not end with a space character.,"(assert (not (= (str.at s (- (str.len s) 1)) "" ""))) ","(assert (not (= (str.at s (- (str.len s) 1)) "" ""))) ","(not (= (str.at s (- (str.len s) 1)) "" ""))",,,,,,,,,,,,,,,,,
Name,True,The name shall not start with a space character.,"(assert (not (= (str.at s 0) "" ""))) ","(assert (not (= (str.at s 0) "" ""))) ","(not (= (str.at s 0) "" ""))",,,,,,,,,,,,,,,,,
Name,False,"The name shall not contain letters a-z, letters A-Z and spaces.","(not (str.contains s (str.to.re ""[a-zA-Z ]"")))","(not (str.contains s (str.to.re ""[a-zA-Z ]"")))","(not (str.contains s (str.to.re ""[a-zA-Z ]"")))","(not (str.matches s (str.to.re ""[a-zA-Z ]*"")))","(not (str.matches s (str.to.re ""[a-zA-Z ]"")))","(not (str.contains s (str.to.re ""[a-zA-Z ]"")))","(not (str.contains s (str.to.re ""[a-zA-Z ]"")))","(not (str.in.re s (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z"") (str.to.re "" ""))))",(not (str.contains s (str.from_char_list (list (char.from_int 97) (char.from_int 122))))),"(not (str.contains s "" ""))","(not (str.contains s (str.to.re ""[a-zA-Z ]"")))","(not (str.contains s (str.to.re ""[a-zA-Z ]"")))","(not (str.contains s (str.to.re ""[a-zA-Z ]"")))",(not (str.contains s (str.from_char_list (list (char.of_int 97) (char.of_int 122) (char.of_int 65) (char.of_int 90) (char.of_int 32))))),"(not (str.contains s (str.to.re ""[a-zA-Z ]"")))",(not (str.contains s (str.from_char_list (list (char.of_nat 97) (char.of_nat 122) (char.of_nat 65) (char.of_nat 90) (char.of_nat 32))))),"(not (str.contains s (str.to.re ""[a-zA-Z ]"")))","(not (str.matches s (str.to.re ""[a-zA-Z ]"")))","(not (str.matches s (str.to.re ""[a-zA-Z ]*"")))","(not (str.contains s (str.to.re ""[a-zA-Z ]"")))"
Name,False,The name shall contain no space character.,"(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.in.re s (re.union (re.range ""a"" ""z"") (re.range ""A"" ""Z""))))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))"
Name,False,The name shall end with a space character.,"(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s (sub (str.len s) 1)) "" "")","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s (- (str.len s) 1)) "" "")"
Name,False,The name shall start  with a space character.,"(= (str.at s 0) "" "")","(= (str.at s 0) "" "")","(= (str.at s 0) "" "")","(= (str.at s 0) "" "")","(= (str.at s 0) "" "")","(= (str.at s 0) "" "")","(= (str.at s 0) "" "")","(= (str.at s 0) "" "")","(= (str.at s 0) "" "")","(= (str.at s 0) "" "")","(= (str.at s 0) "" "")","(= (str.at s 0) "" "")","(= (str.at s 0) "" "")","(= (str.at s 0) "" "")","(= (str.at s 0) "" "")","(= (str.at s 0) "" "")","(= (str.at s 0) "" "")","(= (str.at s 0) "" "")","(= (str.at s 0) "" "")","(= (str.at s 0) "" "")"
Email,True,The email shall not contain a space character.,"(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))","(not (str.contains s "" ""))"
Email,True,The email shall not start with a @ character.,"(not (str.startsWith s ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))","(not (= (str.at s 0) ""@""))"
