constraint0,constraint1,level,step
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))",1,0
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))",1,1
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))",1,2
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))",1,3
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))",1,4
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))",1,5
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))",1,6
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))",1,7
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))",1,8
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))",1,9
