constraint0,constraint1,level,step
"(and (>= (str.to.int (str.substr s (str.indexof s ""-"" 0) (str.indexof s ""-"" 1))) 1) (<= (str.to.int (str.substr s (str.indexof s ""-"" 0) (str.indexof s ""-"" 1))) 12))","(and (>= (str.to.int (str.substr s (str.indexof s ""-"" 1) (str.indexof s ""-"" 2))) 1) (<= (str.to.int (str.substr s (str.indexof s ""-"" 1) (str.indexof s ""-"" 2))) 31))",0,0
"(and (>= (str.to.int (str.substring s (str.indexof s ""-"" 0 +1) (str.indexof s ""-"" 1))) 1) (<= (str.to.int (str.substring s (str.indexof s ""-"" 0 +1) (str.indexof s ""-"" 1))) 12))","(and (>= (str.to.int (str.substring s (str.indexof s ""-"" 1 +1) (str.length s))) 1) (<= (str.to.int (str.substring s (str.indexof s ""-"" 1 +1) (str.length s))) 31))",0,1
"(and (>= (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"") + 1))) 1) (<= (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"") + 1))) 12))","(and (>= (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" + 1) + 1) (str.length s))) 1) (<= (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" + 1) + 1) (str.length s))) 31))",0,2
"(and (>= (str.to.int (str.substring s (str.indexof s ""-"" 0) (str.indexof s ""-"" 1))) 1) (<= (str.to.int (str.substring s (str.indexof s ""-"" 0) (str.indexof s ""-"" 1))) 12))","(and (>= (str.to.int (str.substring s (str.indexof s ""-"" 1) (str.indexof s ""-"" 2))) 1) (<= (str.to.int (str.substring s (str.indexof s ""-"" 1) (str.indexof s ""-"" 2))) 31))",0,3
,,0,4
"(and (<= 1 (str.to.int (str.slice s (+ (str.indexof s ""-"") 1) (str.indexof s ""-"" (+ (str.indexof s ""-"") 1)))) 12))","(and (<= 1 (str.to.int (str.slice s (+ (str.indexof s ""-"" (+ (str.indexof s ""-"") 1)) 1) (str.length s))) 31))",0,5
,,0,6
"(and (>= (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"") + 1) - (str.indexof s ""-""))) 1) (<= (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"") + 1) - (str.indexof s ""-""))) 12))","(and (>= (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"") + 1) (str.length s) - (str.indexof s ""-"" (str.indexof s ""-"") + 1))) 1) (<= (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"") + 1) (str.length s) - (str.indexof s ""-"" (str.indexof s ""-"") + 1))) 31))",0,7
"(and (>= (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"") + 1) - (str.indexof s ""-""))) 1) (<= (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"") + 1) - (str.indexof s ""-""))) 12))","(and (>= (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"") + 1) (str.length s) - (str.indexof s ""-"" (str.indexof s ""-"") + 1))) 1) (<= (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"") + 1) (str.length s) - (str.indexof s ""-"" (str.indexof s ""-"") + 1))) 31))",0,8
"(and (>= (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"") + 1))) 1) (<= (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"") + 1))) 12))","(and (>= (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" + 1) + 1) (str.length s))) 1) (<= (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" + 1) + 1) (str.length s))) 31))",0,9
