constraint0,constraint1,level,step
"(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s 0) "" "")",1,0
"(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s 0) "" "")",2,1
"(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s 0) "" "")",2,2
"(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s 0) "" "")",2,3
"(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s 0) "" "")",2,4
"(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s 0) "" "")",2,5
"(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s 0) "" "")",2,6
"(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s 0) "" "")",2,7
"(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s 0) "" "")",2,8
"(= (str.at s (- (str.len s) 1)) "" "")","(= (str.at s 0) "" "")",2,9
