constraint0,constraint1,level,step
(< (str.len s) 4),"(not (or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$"")))",1,0
(< (str.len s) 4),"(not (or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$"")))",2,1
(< (str.len s) 4),"(not (or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$"")))",2,2
(< (str.len s) 4),"(not (or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$"")))",2,3
(< (str.len s) 4),"(not (or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$"")))",2,4
(< (str.len s) 4),"(not (or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$"")))",2,5
(< (str.len s) 4),"(not (or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$"")))",2,6
(< (str.len s) 4),"(not (or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$"")))",2,7
(< (str.len s) 4),"(not (or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$"")))",2,8
(< (str.len s) 4),"(not (or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$"")))",2,9
