constraint0,constraint1,constraint2,constraint3,level,step
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))",(exists ((c String)) (and (str.contains s c) (is.upper c))),(exists ((c String)) (and (str.contains s c) (is.lower c))),0,0
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))",(exists ((c String)) (and (str.contains s c) (isUpper c))),(exists ((c String)) (and (str.contains s c) (isLower c))),0,1
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))",(exists ((c String)) (and (str.contains s c) (isUpper c))),(exists ((d String)) (and (str.contains s d) (isLower d))),0,2
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))",(exists ((c String)) (and (str.contains s c) (not (str.is_lower c)))),(exists ((c String)) (and (str.contains s c) (not (str.is_upper c)))),0,3
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))",(exists ((c String)) (and (str.contains s c) (is.upper c))),(exists ((c String)) (and (str.contains s c) (is.lower c))),0,4
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""A"" ""Z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""a"" ""z""))))",1,5
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""A"" ""Z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""a"" ""z""))))",1,6
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""A"" ""Z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""a"" ""z""))))",1,7
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""A"" ""Z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""a"" ""z""))))",1,8
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""A"" ""Z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""a"" ""z""))))",1,9
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""A"" ""Z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""a"" ""z""))))",1,10
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""A"" ""Z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""a"" ""z""))))",1,11
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""A"" ""Z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""a"" ""z""))))",1,12
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""A"" ""Z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""a"" ""z""))))",1,13
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""A"" ""Z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""a"" ""z""))))",1,14
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""A"" ""Z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""a"" ""z""))))",1,15
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""A"" ""Z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""a"" ""z""))))",1,16
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""A"" ""Z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""a"" ""z""))))",1,17
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""A"" ""Z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""a"" ""z""))))",1,18
(>= (str.len s) 4),"(or (str.contains s ""!"") (str.contains s ""#"") (str.contains s ""$""))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""A"" ""Z""))))","(exists ((c String)) (and (str.contains s c) (str.in.re c (re.range ""a"" ""z""))))",1,19
