constraint0,constraint1,level,step
"(or (not (str.contains s ""@"")) (> (str.count (str.to.re s) ""@"") 1))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (str.indexof s ""@"" 0) (str.length s)) ""."")))",0,0
"(or (not (str.contains s ""@"")) (> (str.count s ""@"") 1))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (str.indexof s ""@"" 0) (str.length s)) ""."")))",0,1
"(or (= (str.count s ""@"")(0)) (> (str.count s ""@"")(1)))","(=> (str.contains s ""@"")(not (str.contains (str.slice s (+ (str.indexof s ""@"")(1)) (str.len s)) ""."")))",0,2
"(or (not (str.contains s ""@"")) (> (str.count s ""@"") 1))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (str.indexof s ""@"")(str.length s)) ""."")))",0,3
"(or (not (str.contains s ""@"")) (> (str.count s ""@"") 1))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (+ (str.indexof s ""@"") 1) (str.length s)) ""."")))",0,4
"(or (not (str.contains s ""@"")) (> (str.count s ""@"") 1))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (str.indexof s ""@"")) ""."")))",0,5
"(or (not (str.contains s ""@"")) (> (str.count s ""@"") 1))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (+ (str.indexof s ""@"")(str.indexof s ""@"")) (str.length s)) ""."")))",0,6
"(or (not (str.contains s ""@"")) (> (str.count s ""@"") 1))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (str.indexof s ""@"" 0) (str.indexof s ""."" (str.indexof s ""@"" 0)) ) ""."")))",0,7
"(or (not (str.contains s ""@"")) (> (str.count s ""@"") 1))","(=> (str.contains s ""@"")(not (str.contains (str.substr s (str.indexof s ""@"" 0) (str.length s)) ""."")))",0,8
"(or (not (str.contains s ""@"")) (str.in.re s (re.+ (str.to.re ""@""))))","(=> (str.contains s ""@"") (not (str.contains (str.substr s (str.indexof s ""@"") (str.len s)) ""."")))",1,9
