constraint0,constraint1,constraint2,constraint3,level,step
"(= (str.count s ""-"") 2)","(let ((s (str.to.int (str.substr s 0 (str.indexof s ""-""))))) (and (>= s 0) (<= s 2025)))","(let ((s (str.to.int (str.substr s (+ (str.indexof s ""-"") 1) (- (str.indexof s ""-"" 1) (str.indexof s ""-""))))) (and (>= s 1) (<= s 12)))","(let ((s (str.to.int (str.substr s (+ (str.indexof s ""-"" 1) 1) (str.length s)))) (and (>= s 1) (<= s 31)))",0,0
"(= (str.count s ""-"") 2)","(let ((year (str.to.int (str.substr s 0 (str.indexof s ""-""))))) (and (<= year 2025) (>= year 0)))","(let ((month (str.to.int (str.substr s (str.indexof s ""-"" 0) (str.indexof s ""-"" (str.indexof s ""-"" 0 + 1))))) (and (<= month 12) (>= month 1)))","(let ((day (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" 0 + 1)) (str.length s))))) (and (<= day 31) (>= day 1)))",0,1
"(= (str.count s ""-"") 2)","(let ((s (str.to.int (str.substr s 0 (str.indexof s ""-""))))) (and (<= s 2025) (>= s 0)))","(let ((s (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"" +1))))) (and (<= s 12) (>= s 1)))","(let ((s (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" +1)) (str.length s))))) (and (<= s 31) (>= s 1)))",0,2
"(= (str.count s ""-"") 2)","(let ((s (str.to.int (str.substr s 0 (str.indexof s ""-""))))) (and (<= s 2025) (>= s 0)))","(let ((s (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"" 1))))) (and (<= s 12) (>= s 1)))","(let ((s (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" 1) + 1) (str.length s))))) (and (<= s 31) (>= s 1)))",0,3
"(= (str.count s ""-"") 2)","(let ((s (str.to.int (str.substr s 0 (str.indexof s ""-""))))) (and (<= s 2025) (>= s 0)))","(let ((s (str.to.int (str.substr s (+ (str.indexof s ""-"") 1) (- (str.indexof s ""-"" (+ (str.indexof s ""-"") 1)) (str.indexof s ""-""))))) (and (<= s 12) (>= s 1)))","(let ((s (str.to.int (str.substr s (+ (str.indexof s ""-"" (+ (str.indexof s ""-"") 1)) 1) (str.length s)))) (and (<= s 31) (>= s 1)))",0,4
"(= (str.count s ""-"") 2)","(let ((s (str.to.int (str.substr s 0 (str.indexof s ""-""))))) (and (>= s 0) (<= s 2025)))","(let ((s (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"" 0 1) + 1)))))) (and (>= s 1) (<= s 12)))","(let ((s (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" 0 1) + 1) (str.length s))))) (and (>= s 1) (<= s 31)))",0,5
"(= (str.count s ""-"") 2)","(let ((s (str.to.int (str.substr s 0 (str.indexof s ""-""))))) (and (>= s 0) (<= s 2025)))","(let ((s (str.to.int (str.substr s (+ 1 (str.indexof s ""-"")) (str.indexof s ""-"" (+ 1 (str.indexof s ""-""))))))) (and (>= s 1) (<= s 12)))","(let ((s (str.to.int (str.substr s (+ 1 (str.indexof s ""-"" (+ 1 (str.indexof s ""-"")))) (str.length s))))) (and (>= s 1) (<= s 31)))",0,6
"(and (not (= (str.indexof s ""-"") -1)) (not (= (str.indexof s ""-"" (str.indexof s ""-"" + 1)) -1)))","(let ((s (str.to.int (str.substr s 0 (str.indexof s ""-"")))) ) (and (>= s 0) (<= s 2025)))","(let ((s (str.to.int (str.substr s (+ (str.indexof s ""-"") 1) (str.indexof s ""-"" (str.indexof s ""-"" + 1))))) ) (and (>= s 1) (<= s 12)))","(let ((s (str.to.int (str.substr s (+ (str.indexof s ""-"" (str.indexof s ""-"" + 1)) 1) (str.length s)))) ) (and (>= s 1) (<= s 31)))",0,7
"(= (str.count s ""-"") 2)",(and (<= s 2025) (>= s 0)),(and (<= s 12) (>= s 1)),(and (<= s 31) (>= s 1)),0,8
"(= (str.count s ""-"") 2)","(let ((year (str.to.int (str.substr s 0 (str.indexof s ""-""))))) (and (>= year 0) (<= year 2025)))","(let ((month (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"") + 1))))) (and (>= month 1) (<= month 12)))","(let ((day (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"") + 1) (str.length s))))) (and (>= day 1) (<= day 31)))",0,9
"(= (str.count s ""-"") 2)","(let ((s (string.to.int (str.substr s 0 (str.indexof s ""-""))))) (and (<= s 2025) (>= s 0)))","(let ((s (string.to.int (str.substr s (+ (str.indexof s ""-"") 1) (- (str.indexof s ""-"" (str.indexof s ""-"" + 1)) (+ (str.indexof s ""-"") 1))))) (and (<= s 12) (>= s 1)))","(let ((s (string.to.int (str.substr s (+ (str.indexof s ""-"" (str.indexof s ""-"" + 1)) 1) (- (str.len s) (+ (str.indexof s ""-"" (str.indexof s ""-"" + 1)) 1))))) (and (<= s 31) (>= s 1)))",0,10
"(= (str.count s ""-"") 2)","(let ((year (str.to.int (str.substr s 0 (str.indexof s ""-""))))) (and (<= year 2025) (>= year 0)))","(let ((month (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" 1))))) (and (<= month 12) (>= month 1)))","(let ((day (str.to.int (str.substr s (str.indexof s ""-"" 1) (str.length s))))) (and (<= day 31) (>= day 1)))",0,11
"(= (str.count s ""-"") 2)","(and (<= s 2025) (>= s 0) (str.prefix s (str.++ (str.from_int s) ""-"")))","(and (<= s 12) (>= s 1) (str.contains s (str.++ ""-"" (str.from_int s) ""-"")))","(and (<= s 31) (>= s 1) (str.contains s (str.++ (str.++ (str.from_int s) ""-"" (str.from_int s)) ""-"" (str.from_int s))))",0,12
,,,,0,13
"(= (str.count s ""-"") 2)",(and (>= s 0) (<= s 2025)),(and (>= s 1) (<= s 12)),(and (>= s 1) (<= s 31)),0,14
,,,,0,15
"(= (str.count s ""-"") 2)",(and (<= s 2025) (>= s 0)),(and (<= s 12) (>= s 1)),(and (<= s 31) (>= s 1)),0,16
,,,,0,17
"(= (str.count s ""-"") 2)","(let ((s (str.to.int (str.substr s 0 (str.indexof s ""-""))))) (and (<= 0 s) (<= s 2025)))","(let ((s (str.to.int (str.substr s (str.indexof s ""-"") (str.indexof s ""-"" (str.indexof s ""-"" 1))))) (and (<= 1 s) (<= s 12)))","(let ((s (str.to.int (str.substr s (str.indexof s ""-"" (str.indexof s ""-"" 1)) (str.length s))))) (and (<= 1 s) (<= s 31)))",0,18
,,,,0,19
