constraint0,constraint1,constraint2,constraint3,level,step
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.count s ""@"")(1))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (str.length s)) "".""))",0,0
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.count s ""@"")(1))","(=> (str.contains s ""@"")(str.contains (str.substr s (str.indexof s ""@"" 0) (str.length s)) "".""))",0,1
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.count s ""@"")(1))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.length s) (+ (str.indexof s ""@"") 1))) "".""))",0,2
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.count s ""@"")== 1)","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (str.length s)) "".""))",0,3
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.count s ""@"")(1))","(=> (str.contains s ""@"")(exists ((i Int)) (and (> i (str.indexof s ""@"")) (str.contains (str.substr s i (str.length s)) "".""))))",0,4
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.indexof s ""@"") (str.indexof s ""@""))","(=> (str.contains s ""@"")(str.contains (str.substr s (str.indexof s ""@"") (str.length s)) "".""))",0,5
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.count s ""@"")(1))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.length s) (+ (str.indexof s ""@"") 1))) "".""))",0,6
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.count s ""@"")(1))","(=> (str.contains s ""@"")(str.contains (str.substr s (str.indexof s ""@"" 0) (str.length s)) "".""))",0,7
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.count s ""@"")(1))","(=> (str.contains s ""@"")(str.contains (str.substr s (str.indexof s ""@"" 0) (str.len s)) "".""))",0,8
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.count s ""@"")(1))","(=> (str.contains s ""@"")(exists ((i Int)) (and (>= i 1) (< i (str.len s)) (str.contains (str.substr s (+ (str.indexof s ""@"") 1) (- (str.len s) (+ (str.indexof s ""@"") 1))) "".""))))",0,9
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.count s ""@"")(1))","(=> (str.contains s ""@"")(str.contains (str.substr s (str.indexof s ""@"" 0) (str.len s)) "".""))",0,10
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.count s ""@"") 1)","(=> (str.contains s ""@"")(str.contains (str.substr s (str.indexof s ""@"") (str.length s)) "".""))",0,11
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.count s ""@"")(1))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"")(1)) (- (str.length s) (+ (str.indexof s ""@"")(1))) ""."")))",0,12
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.count s ""@"")== 1)","(=> (str.contains s ""@"")(str.contains (str.substr s (str.indexof s ""@"" 0) (str.length s)) "".""))",0,13
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.indexof s ""@"") (str.indexof (str.substr s (str.indexof s ""@"") (str.length s)) ""@""))","(=> (str.contains s ""@"")(str.contains (str.substr s (str.indexof s ""@"") (str.length s)) "".""))",0,14
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.count s ""@"") 1)","(=> (str.contains s ""@"")(str.contains (str.substr s (str.indexof s ""@"" 0) (str.length s)) "".""))",0,15
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.count s ""@"")(1))","(=> (str.contains s ""@"")(str.contains (str.substr s (str.indexof s ""@"" 0) (str.length s)) "".""))",0,16
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.count s ""@"") 1)","(=> (str.contains s ""@"")(exists ((x String)) (and (str.contains (str.substr s (+ (str.indexof s ""@"") 1)) ""."") (>= (str.length (str.substr s (+ (str.indexof s ""@"") 1))) 1))))",0,17
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.count s ""@"")(1))","(=> (str.contains s ""@"")(exists ((x String)) (and (str.contains (str.substr s (str.indexof s ""@"")(str.length s)) ""."") (> (str.indexof s ""."") (str.indexof s ""@"")))))",0,18
"(not (str.contains s "" ""))","(not (= (str.at s 0) ""@""))","(= (str.count s ""@"")(1))","(=> (str.contains s ""@"")(str.contains (str.substr s (+ (str.indexof s ""@"")(1)) (str.length s)) "".""))",0,19
