0,1,2,3
Name,True,"1. The name shall only contain letters a-z, letters A-Z and space characters.",
Name,True,2. The name shall contain at least one space character.,
Name,True,3. The name shall not end with a space character.,
Name,True,4. The name shall not  start with a space character.,
Name,True,5. The first character in the name shall be capitalized.,
Name,True,6. Any character in the name following a space character shall be capitalized.,
Name,False,"1. The name shall not contain letters a-z, letters A-Z and spaces.",
Name,False,2. The name shall contain no space character.,
Name,False,3. The name shall end with a space character.,
Name,False,4. The name shall start  with a space character.,
Name,False,5. The first character in the name shall not be capitalized.,
Name,False,"6. In the name, there shall be some characters following a space character which are not capitalized.",
Email,True,1. The email shall not contain a space character.,"(not (str.contains s "" ""))"
Email,True,2. The email shall not start with a @ character.,"(not (= (str.at s 0) ""@""))"
Email,True,3. The email shall have exactly one @ character.,"(and (str.contains s ""@"")(not (str.contains (str.substr s 0 (str.indexof s ""@"")) ""@""))(not (str.contains (str.substr s (+ 1 (str.indexof s ""@"")) (str.len s)) ""@"")))"
Email,True,"4. If the email contains a @ character, then the email shall include a dot character (.) after the @ character but before the end.","(=> (str.contains s ""@"")(str.contains (str.substr s (+ 1 (str.indexof s ""@"")) (- (str.len s) (+ 1 (str.indexof s ""@"")))) "".""))"
Email,True,5. The final character of the email shall not be a dot character (.).,"(not (= (str.at s (- (str.len s) 1)) "".""))"
Email,True,6. The email shall not contain the word “manager”.,"(not (str.contains s ""manager""))"
Email,False,1. The email shall contain a space character.,"(str.contains s "" "")"
Email,False,2. The email shall start with a @ character.,
Email,False,3. The email shall have either no @ characters or more than one @ character.,
Email,False,"4. If the email contains a @ character, then the email shall not include any dot characters (.) after the @ character and before the end.",
Email,False,5. The final character of the email shall be a dot character (.).,"(str.contains s ""manager"")"
Email,False,6. The email shall contain the word “manager”.,
Password,True,1. The password shall be at least 4 characters long.,
Password,True,"2. The password shall contain one of the following characters: !, #, $.",
Password,True,3. The password shall contain at least one upper case characters.,
Password,True,4. The password shall contain at least one lower case characters.,
Password,True,5. The password shall contain at least one number.,
Password,False,1. The password shall contain less than 4 characters.,
Password,False,"2. The password shall not contain any of the following characters: !, #, $.",
Password,False,3. The password shall not contain any upper case characters.,
Password,False,4. The password shall not contain any lower case characters.,
Password,False,5. The password shall not contain any numbers.,
Url,True,1. The url shall start with either http:// or https://.,
Url,True,2. The url shall not contain any spaces.,
Url,True,3. The url shall contain at least one dot character (.).,"(str.contains s ""."")"
Url,False,"1. The url shall not start with http://, nor with https://.",
Url,False,2. The url shall contain at least one space.,
Url,False,3. The url shall not contain any dot character (.).,"(str.contains s "" "")"
Date,True,1. The date shall contain two hyphens.,
Date,True,2. The date shall have a number between 0 and 2025 before the first hyphen.,
Date,True,3. The data shall have a number between 1 and 12 after the first hyphen but before the second hyphen.,
Date,True,4. The date shall have a number between 1 and 31 after the second hyphen.,
Date,False,"1. The date shall contain either no hyphens, one hyphen or more than two hyphens.",
Date,False,"2. If the date has at least one hyphen, the part before the first hyphen shall be either a number smaller than 0 or a number larger than 2025.",
Date,False,"3. If the date has at least two hyphens, the part after the first hyphen but before the second hyphen shall be a number smaller than 1 or a number larger than 12.",
Date,False,"4. If the date has at least two hyphens, the part after the second hyphen shall be a number smaller than 1 or larger than 31.",
IBAN,True,1. The length of the bank number shall be 22.,(= (str.len s) 22)
IBAN,True,2. The first 4 numbers of the bank number shall be: 1210 (CA).,"(= (str.substr s 0 4) ""1210"")"
IBAN,True,3. The next 2 numbers of the bank number after the first 4 numbers shall be 00.,"(= (str.substr s 4 2) ""00"")"
IBAN,False,1. The length of the bank number shall not be 22.,(not (= (str.len s) 22))
IBAN,False,2. The first 4 numbers of the bank number shall not be: 1210 (CA).,"(not (= (str.substr s 0 4) ""1210""))"
IBAN,False,3. The next 2 numbers of the bank number after the first 4 numbers shall not be 00.,"(not (= (str.substr s 4 2) ""00""))"
