constraint0,constraint1,constraint2,constraint3,level,step
"(assert (str.in_re s (re.+ (str.to_re ""[a-zA-Z ]""))))","(assert (str.contains s "" ""))","(assert (not (= (str.at s (- (str.len s) 1)) "" ""))) ","(assert (not (= (str.at s 0) "" ""))) ",1,0
"(assert (str.in_re s (re.+ (str.to_re ""[a-zA-Z ]""))))","(assert (str.contains s "" ""))","(assert (not (= (str.at s (- (str.len s) 1)) "" ""))) ","(assert (not (= (str.at s 0) "" ""))) ",0,1
"(str.in_re s (re.++ (re.* (str.to_re ""[a-zA-Z]"")) (re.* (str.to_re "" ""))))","(str.contains s "" "")","(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s 0) "" ""))",0,2
,,,,0,3
,,,,0,4
,,,,0,5
,,,,0,6
,,,,0,7
,,,,0,8
,,,,0,9
,,,,0,10
,,,,0,11
,,,,0,12
,,,,0,13
,,,,0,14
,,,,0,15
,,,,0,16
,,,,0,17
,,,,0,18
,,,,0,19
