constraint0,constraint1,level,step
"(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s 0) "" ""))",1,0
"(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s 0) "" ""))",1,1
"(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s 0) "" ""))",1,2
"(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s 0) "" ""))",1,3
"(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s 0) "" ""))",1,4
"(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s 0) "" ""))",1,5
"(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s 0) "" ""))",1,6
"(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s 0) "" ""))",1,7
"(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s 0) "" ""))",1,8
"(not (= (str.at s (- (str.len s) 1)) "" ""))","(not (= (str.at s 0) "" ""))",1,9
